Forma, LinhasUm,ColunasUm,NumThreads,TempoTotal
Concorrente, 500,500,1,0.342788
Concorrente, 500,500,1,0.381081
Concorrente, 500,500,1,0.380631
Concorrente, 500,500,1,0.393093
Concorrente, 500,500,1,0.356630
Concorrente, 1000,1000,1,2.996944
Concorrente, 1000,1000,1,3.008873
Concorrente, 1000,1000,1,3.039479
Concorrente, 1000,1000,1,3.049783
Concorrente, 1000,1000,1,3.273076
Concorrente, 2000,2000,1,29.575251
Concorrente, 2000,2000,1,27.278746
Concorrente, 2000,2000,1,27.246663
Concorrente, 2000,2000,1,27.874186
Concorrente, 2000,2000,1,29.554081
Concorrente, 500,500,2,0.180070
Concorrente, 500,500,2,0.179377
Concorrente, 500,500,2,0.190263
Concorrente, 500,500,2,0.189969
Concorrente, 500,500,2,0.179321
Concorrente, 1000,1000,2,1.540741
Concorrente, 1000,1000,2,1.623406
Concorrente, 1000,1000,2,1.544298
Concorrente, 1000,1000,2,1.625382
Concorrente, 1000,1000,2,1.543331
Concorrente, 2000,2000,2,14.646847
Concorrente, 2000,2000,2,14.617933
Concorrente, 2000,2000,2,14.041627
Concorrente, 2000,2000,2,13.869958
Concorrente, 2000,2000,2,14.231834
Concorrente, 500,500,4,0.097162
Concorrente, 500,500,4,0.096050
Concorrente, 500,500,4,0.096961
Concorrente, 500,500,4,0.101172
Concorrente, 500,500,4,0.100947
Concorrente, 1000,1000,4,0.839307
Concorrente, 1000,1000,4,0.838811
Concorrente, 1000,1000,4,0.834751
Concorrente, 1000,1000,4,0.835731
Concorrente, 1000,1000,4,0.833675
Concorrente, 2000,2000,4,7.353219
Concorrente, 2000,2000,4,7.314876
Concorrente, 2000,2000,4,7.247459
Concorrente, 2000,2000,4,7.282912
Concorrente, 2000,2000,4,7.353009
Concorrente, 500,500,8,0.067199
Concorrente, 500,500,8,0.066699
Concorrente, 500,500,8,0.067520
Concorrente, 500,500,8,0.067541
Concorrente, 500,500,8,0.066143
Concorrente, 1000,1000,8,0.574981
Concorrente, 1000,1000,8,0.561329
Concorrente, 1000,1000,8,0.560271
Concorrente, 1000,1000,8,0.562289
Concorrente, 1000,1000,8,0.557245
Concorrente, 2000,2000,8,4.933291
Concorrente, 2000,2000,8,4.983842
Concorrente, 2000,2000,8,4.941314
Concorrente, 2000,2000,8,4.940800
Concorrente, 2000,2000,8,4.638274
Concorrente, 500,500,14,0.049764
Concorrente, 500,500,14,0.048076
Concorrente, 500,500,14,0.048724
Concorrente, 500,500,14,0.047283
Concorrente, 500,500,14,0.047637
Concorrente, 1000,1000,14,0.369279
Concorrente, 1000,1000,14,0.370159
Concorrente, 1000,1000,14,0.366722
Concorrente, 1000,1000,14,0.367168
Concorrente, 1000,1000,14,0.365041
Concorrente, 2000,2000,14,3.207649
Concorrente, 2000,2000,14,3.246222
Concorrente, 2000,2000,14,3.265366
Concorrente, 2000,2000,14,3.224365
Concorrente, 2000,2000,14,3.275622
Sequencial, 500,500,0,0.254684
Sequencial, 500,500,0,0.256331
Sequencial, 500,500,0,0.265436
Sequencial, 500,500,0,0.273162
Sequencial, 500,500,0,0.292570
Sequencial, 1000,1000,0,2.214467
Sequencial, 1000,1000,0,2.418591
Sequencial, 1000,1000,0,2.401681
Sequencial, 1000,1000,0,2.422352
Sequencial, 1000,1000,0,2.248782
Sequencial, 2000,2000,0,20.608708
Sequencial, 2000,2000,0,20.491153
Sequencial, 2000,2000,0,20.496976
Sequencial, 2000,2000,0,22.540108
Sequencial, 2000,2000,0,22.391821
